"","ds","dep_var","trend","season","holiday","print_launch","product_launch","solidcolor_launch","mb_status","sale_status","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","email_campaign_delivery","organic_impressions","intercept","depVarHat","solID","cluster","top_sol"
"3064",2023-05-07,1354394,0,15044.628533077,0,0,0,0,-31024.3908818379,0,94902.1895812673,135622.090431142,8182.37804156756,55830.0443435987,10268.8641166791,0,2224.5058864945,0,0,109986.250534757,108036.395341446,222292.492654644,731365.448582834,"1_95_6",3,FALSE
"3065",2023-05-14,946631,0,48755.747556531,0,0,0,0,0,35296.6834161415,111428.065590209,142582.7091747,9284.76542377496,54862.4957914653,13328.4965888932,0,2076.22380638549,0,0,171491.252453479,111410.729782358,222292.492654644,922809.662238582,"1_95_6",3,FALSE
"3066",2023-05-21,952822,0,127260.494388003,0,0,0,0,0,105890.050248424,102468.791645267,134203.468549314,9656.28886108016,52250.5272839494,14543.8236738125,0,1937.68710427147,0,0,182507.992932843,111935.751009121,222292.492654644,1064947.36835073,"1_95_6",3,FALSE
"3067",2022-01-02,654913,0,-152401.277661359,0,0,0,0,0,39313.9100433035,140896.651804687,157279.328904185,70120.4694000244,108858.588602178,57283.9207370358,0,0,19611.2696564403,0,17591.8994077005,32909.0168169738,267341.15825987,758804.93597104,"1_98_10",1,FALSE
"3068",2022-01-09,1098519,0,-93272.3362185132,0,72705.0706875755,0,0,0,78627.820086607,127849.437095416,137004.262475957,58443.2933145025,109723.713161219,42582.2129847959,1333.0645961511,0,8772.62294197156,0,13458.5852957774,25818.8517155017,267341.15825987,850387.756396832,"1_98_10",1,FALSE
"3069",2022-01-16,963182,0,-74904.9227442936,108071.986757443,63201.1398787421,0,0,0,196569.550216517,167172.8052787,148002.046881016,57313.4549116552,116235.570677144,41262.0094593367,14790.9907016414,0,129.732061989591,0,14142.0619881962,23037.5191605001,267341.15825987,1142365.10348846,"1_98_10",1,FALSE
"3070",2022-01-23,557152,0,-104982.621175749,0,39916.5093971003,0,0,0,0,157348.746870943,156078.274263504,61395.5688435828,123329.627247331,34367.8674009714,6.11880100180795,0,0.000976905398741387,0,15475.6287684629,22714.2672855791,267341.15825987,772991.146939503,"1_98_10",1,FALSE
"3071",2022-01-30,594670,0,-144155.895358632,0,16631.8789154585,0,0,0,0,134637.066369693,147718.816859816,63683.5674481838,127061.31373324,21996.5674928648,1333.06459616958,40508.9581494482,1.52139537429732e-13,501.515559306095,21167.2179421989,22018.968682011,267341.15825987,720444.198649628,"1_98_10",1,FALSE
"3072",2022-02-06,893466,0,-161217.882078779,0,475.19654044167,-8734.42778414802,0,0,0,143147.083689364,151550.876609943,62091.788271726,126011.556749491,33312.8677519487,14790.9907016414,75951.8616270855,1.4316952963609e-29,4914.98471362792,20454.3827325278,20933.1571783138,267341.15825987,751023.594963054,"1_98_10",1,FALSE
"3073",2022-02-13,836533,0,-155565.393834542,0,0,-9406.3068444671,0,0,19656.9550216517,176471.006277715,161790.416212548,62678.9330583233,122626.915998334,48476.9503945715,9150.87742903917,82962.8529368412,1.75445913044472e-53,5630.54524146305,13976.3451816004,20321.973542473,267341.15825987,826113.228875421,"1_98_10",1,FALSE
