"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","cluster","top_sol"
"27","2_99_2",0,0.278719741359489,0.396201223475885,0.91166743200444,0.0921077760173718,0.7483177828836,0.220923198374444,0.03048096737512,0.0889500359079263,0.655106155379805,0.142951760451696,0.324138659602362,0.21450908422855,0.354857477046903,3,FALSE
"28","5_100_19",0,0.541465799628279,0.268501865016091,0.777694775211683,0.0965258580447352,0.181531418217079,0.52430793064718,0.10303486300925,0.486731394080138,0.46979283151989,0.829995569711782,0.608161223963028,0.823968280853144,0.451754799782878,2,FALSE
"29","5_100_2",0,0.455826387204872,0.30310333985953,0.898759471288383,0.098872087933191,0.342869940442132,0.575144046092695,0.601396132679001,0.27964599298687,0.460641128640926,0.790600984018863,0.659933913170444,0.351340361640094,0.215711606666537,1,FALSE
"30","5_100_3",0,0.654102467849404,0.256274065994063,0.727108702280919,0.0966712082114337,0.0892215212140323,0.389433271190185,0.106667932698493,0.842264633464291,0.0590175599874831,0.891629497228288,0.515018748651546,0.913335770115742,0.688562444187096,4,FALSE
"31","5_100_4",0,0.532014528774929,0.263116711949627,0.800627559062303,0.0970872684584587,0.199484321330652,0.439876308083551,0.100122591195573,0.460618556734147,0.369828220436786,0.790234450894984,0.774585979522582,0.592432796521957,0.650546757757925,2,FALSE
"32","5_100_8",0,0.45781544374763,0.300405312996885,0.878894015546919,0.0989079138961244,0.280641827389967,0.41972005150037,0.794571358761413,0.184458069181609,0.175555200417718,0.845234615143762,0.670626341471391,0.351216123041569,0.0916074450164482,1,FALSE
"33","5_101_1",0,0.524888223540591,0.27072522846551,0.803167336721294,0.0966961152043948,0.136271557368651,0.662534047740062,0.14694465674366,0.261253753294213,0.272947231741222,0.751787837009725,0.84119985471595,0.621160788773171,0.41375890647088,2,FALSE
"34","5_101_10",0,0.562975906903396,0.26340871321008,0.776031132246838,0.0969515139051148,0.179030862353219,0.411230884927279,0.0952840419100799,0.576707965138367,0.359976671111737,0.694309947792184,0.665566370896259,0.608734617114847,0.678846966222143,4,TRUE
"35","5_101_13",0,0.444885622763732,0.321912638965201,0.914352365065292,0.101331265270391,0.422333414040727,0.490690808792649,0.783189709493834,0.347032048440345,0.690615829127528,0.419456173721336,0.389228499380804,0.136342756007993,0.157300199573526,1,FALSE
"36","5_101_19",0,0.444282248040714,0.297887014878883,0.908965381106019,0.0986024608386823,0.322579756585575,0.346529836082613,0.731926344413629,0.219600254730999,0.592235084007289,0.824922436804378,0.583658426736793,0.419572579814991,0.202284189503067,1,FALSE
"37","5_102_11",0,0.672062510883882,0.259776116054968,0.756046773723215,0.0953653151763241,0,0.787095744223684,0,0.415806606679415,0.120657238774001,0.887560143878888,0.966459187805991,0.994189609320757,0.4898515113846,4,FALSE
"38","5_102_12",0,0.504487242901961,0.277091395320295,0.828090233832114,0.096767325424088,0.164067598679895,0.615803167451639,0.240253368971062,0.205272968260318,0.28886546109007,0.979611230275846,0.82513629356223,0.581038939488049,0.340363838741065,2,FALSE
"39","5_102_15",0,0.521597331490713,0.274678063179051,0.819151628062262,0.0968835821232795,0.156381516555976,0.374899380158233,0.392902560972329,0.349126895784953,0.281984729450105,0.87579793152496,0.833103047816515,0.7225323015919,0.381567421930812,2,FALSE
