"","ds","dep_var","trend","season","holiday","print_launch","product_launch","solidcolor_launch","mb_status","sale_status","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","sms_sends","email_campaign_delivery","email_flow_delivery","organic_impressions","intercept","depVarHat","solID","cluster","top_sol"
"3512",2022-02-20,726653,0,-138810.200818252,-9980.28569954438,0,-12900.0964610082,0,0,0,554726.494718091,148076.155965554,0,40612.1629193369,75284.5213906642,0,0,23.3817033936008,4622.54367589381,17080.4146612236,247.042392085633,0,0,7656.76244753124,48320.6313673326,0,0,0,734959.528262302,"3_103_6",4,TRUE
"3513",2022-02-27,884322,0,-110421.282606614,0,0,-5953.89067431149,0,0,0,575866.114359395,127065.765342826,0,47740.9717863567,81296.7349362058,0,0,5.99956586606391,3438.62588030873,23954.3893744623,281.597797625125,0,0,21870.8603991028,44114.9233505826,0,0,0,809260.809511806,"3_103_6",4,TRUE
"3514",2022-03-06,854156,0,-71488.8864569795,0,0,-425.277905307964,0,-3691.69559479672,0,600337.440044317,146132.311706872,0,48870.9440511135,65636.5994195558,0,0,1.53934715143963,1344.08993596514,27601.3830373421,194.953996382173,0,0,5848.06732866357,51012.4788236179,0,0,0,871373.947733897,"3_103_6",4,TRUE
"3515",2022-03-13,1041636,0,-35201.968423352,0,-24900.1572403427,0,0,0,0,567366.053907008,181351.180612512,0,79738.3383275672,104624.340452125,0,0,0.394953901933618,351.893169577436,28016.4238661216,211.924407951894,0,0,133765.378349617,52950.7676002586,0,0,0,1088274.56998295,"3_103_6",4,TRUE
"3516",2022-03-20,1023846,0,-20800.9236257099,0,-26815.5539511383,0,0,-3691.69559479672,14730.1133078034,532144.952619315,196340.983318265,0,101420.174724619,94158.7560525656,0,0,0.101333833421792,79.6666950173862,28063.5550734206,579.604154936769,0,0,105889.226249957,74701.8223050964,0,0,0,1096800.78266318,"3_103_6",4,TRUE
"3517",2022-03-27,984190,0,-29622.2225101973,0,-17430.1100682399,0,0,0,0,495295.241794065,180917.206746845,0,88241.5919046256,122320.855129993,0,0,0.0259993254648361,17.3907003113994,28331.5393441831,514.454826426854,0,0,12208.0339779788,118490.451541274,0,0,0,999284.459386591,"3_103_6",4,TRUE
"3518",2022-04-03,1024756,0,-38958.7297408403,0,-8044.66618534149,0,0,-3691.69559479672,14730.1133078034,501485.27205617,147966.90545369,0,80565.3529392315,101694.750341947,0,0,0.00667067177994785,3.7654476360724,29014.8718599073,719.129429788045,0,0,78174.0739032101,135475.12327059,0,0,0,1039134.27315967,"3_103_6",4,TRUE
"3519",2022-04-10,1010760,0,-27195.4155653754,0,-574.619013238678,0,0,0,0,536888.239956908,154487.664530739,0,101594.466007547,114404.40154783,0,0,0.00171150051518415,0.813851780599281,29092.4278306864,14709.3989513186,0,0,129235.098510015,60371.1653356807,0,0,0,1113013.64365539,"3_103_6",4,TRUE
"3520",2022-04-17,1048608,0,-189.699047730954,0,0,0,-24343.3668224534,-3691.69559479672,0,528168.715191579,151499.998301738,0,108462.201351186,107418.758574776,0,0,0.000439121284674572,0.175835766878768,29101.2356848092,1740.50945597042,0,0,98992.2859031992,42845.0050983407,0,0,0,1040004.1243715,"3_103_6",4,TRUE
"3521",2022-04-24,962334,0,16767.5174902103,0,0,0,-46282.4505019484,0,0,496880.087157772,168553.967102051,0,101703.331493986,80566.4795595583,0,0,0.000112665757368021,0.0379868318146835,29102.2360567075,2412.96100015857,0,0,3156.95103382006,59842.3828239018,0,0,0,912703.501315714,"3_103_6",4,TRUE
"3522",2022-05-01,1008991,0,13974.8727957077,0,0,0,-31556.2162513285,0,29460.2266156068,500175.963668086,203654.094116591,0,100664.148534746,86244.7452796003,0,0,2.89067583638853e-05,0.00820637086735207,25323.8059693889,2580.89487380223,0,0,31124.833836589,47451.6737610737,0,0,0,1009099.05143514,"3_103_6",4,TRUE
"3523",2022-05-08,1075978,0,14992.8152631794,0,0,0,-16829.9820007085,0,0,526299.948662103,211984.272110203,0,90561.6484359291,89440.3305573141,0,0,7.41663393012036e-06,0.00177283176033394,24895.6338356559,3240.69851530721,0,0,22080.3575874278,46344.9943906113,0,0,0,1013010.71913727,"3_103_6",4,TRUE
"3524",2022-05-15,1285122,0,51482.3440415,0,0,0,-3005.35392869795,0,0,566182.446305217,223552.00673786,0,78755.6663487234,101855.892333444,0,0,1.90289267847888e-06,0.000382986568711309,24847.037086063,16154.1288317918,0,0,48721.5014025453,48436.1707984677,0,0,0,1156981.8403418,"3_103_6",4,TRUE
"3525",2022-05-22,1475683,0,122913.686408388,0,0,0,0,0,44190.3399234102,598018.171983243,256305.740058335,0,74349.7744229073,91940.4448311422,0,0,4.88226947676592e-07,8.2736945814837e-05,24841.5180169577,4416.97891060662,0,0,148905.399619987,72631.1704862064,0,0,0,1438513.22474441,"3_103_6",4,TRUE
"3526",2022-05-29,1485880,0,189831.573208489,-87472.5659235594,0,0,0,0,58920.4532312136,578415.600540793,283376.59315581,0,68259.8342519027,90952.5049457639,0,0,1.25264842905876e-07,1.78737389105544e-05,34814.2685484539,27613.6899595086,0,0,29841.0365362214,64081.9402395354,0,0,0,1338634.92871213,"3_103_6",4,TRUE
"3527",2022-06-05,1260758,0,210862.012749909,0,0,0,0,-3691.69559479672,0,541337.150297293,242789.669204604,0,54471.9220875531,107152.078921304,0,0,3.21393174688251e-08,3.86128031196579e-06,42838.22727001,24637.1502893526,0,0,43316.5739449937,97152.9934193414,0,0,0,1360866.08259346,"3_103_6",4,TRUE
"3528",2022-06-12,1785492,0,182337.829474242,0,-15514.7133574443,0,0,0,0,579385.893053241,268229.686806086,0,48241.0367576811,92431.200168744,0,0,8.24601463107836e-09,8.34155947729158e-07,43693.1318477784,305210.095980007,0,0,168963.296145665,70974.538964222,0,0,0,1743951.99584106,"3_103_6",4,TRUE
"3529",2022-06-19,1324483,0,137270.74439711,0,-29497.1093462521,-7796.76159731267,-16529.4466078387,0,0,612725.972009413,274778.26939109,0,50231.9906157094,84059.4293668656,0,0,2.115687657708e-09,1.80203478805112e-07,43789.4165652685,167154.629678207,0,0,22933.6783075779,36958.2226134169,0,0,0,1376079.03539344,"3_103_6",4,TRUE
