"","ds","dep_var","trend","season","holiday","print_launch","product_launch","solidcolor_launch","mb_status","sale_status","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","sms_sends","email_campaign_delivery","organic_impressions","intercept","depVarHat","solID","cluster","top_sol"
"1364",2022-12-11,1697501,0,224387.331032906,0,74619.6529239575,0,0,-13187.5824937965,54565.381841349,136658.829371078,73803.7444028765,21123.9776104877,33025.5691272988,53292.4719821794,47051.6495008975,6291.68960583498,0,0,54659.9824884538,90162.706787211,0,0,98466.3380303389,146333.540153533,0,255886.284146941,1357141.56651155,"4_79_16",2,FALSE
"1365",2022-12-18,581919,0,-56499.5308821429,0,50877.0360845165,0,0,-13187.5824937965,0,96035.9117801845,59569.0018502999,17779.5507400442,33609.5478650551,34748.5179963136,17378.7745010625,5834.33434611261,0,0,47205.4324713058,71903.9582511016,0,0,73036.8768938513,113775.867060878,0,255886.284146941,807953.980611726,"4_79_16",2,FALSE
"1366",2022-12-25,863564,0,-207693.570862441,254082.519369442,27134.4192450754,0,0,0,163696.145524047,75702.1591164837,42292.0476999866,12379.0285471422,33167.6918535404,19748.4548209785,19671.6803431706,5413.11652031053,0,0,43839.7088394365,59178.9971783038,0,0,99185.2066055111,90678.0269238235,0,255886.284146941,994361.915871752,"4_79_16",2,FALSE
"1367",2023-01-01,700012,0,-199356.47252879,138818.031383744,4845.43200804919,0,0,0,190978.836444721,67456.0965030276,34868.0235890808,8020.42191360891,34240.2347921556,13063.0804251823,18970.1597763359,5024.87029804269,0,0,38335.2974657321,50457.6780586829,0,0,67533.0162778452,127430.187597842,0,255886.284146941,856571.178152201,"4_79_16",2,FALSE
"1368",2023-01-08,590586,0,-125731.940807887,0,0,0,0,0,27282.6909206745,53498.3987626723,30685.5331850418,6809.30566128226,34644.7805028661,9213.70521715851,8396.54088328503,4666.73088817745,0,0,34838.5383467686,65292.4264797905,0,0,65958.2678712795,120656.09124977,0,255886.284146941,592097.35330782,"4_79_16",2,FALSE
"1369",2023-01-15,828218,0,-90899.138124138,121144.460625196,51361.5792853214,0,0,0,0,47206.076230036,27249.7567791776,6591.62797958362,33047.2483216914,19181.1053492905,7880.50636976423,4336.10497049768,0,0,33056.5475161255,51616.1190639746,0,0,78950.2962690422,103767.900797612,0,255886.284146941,750376.475580115,"4_79_16",2,FALSE
"1370",2023-01-22,777044,0,-120047.032743367,0,71227.850518323,0,0,-13187.5824937965,0,48198.8837387559,26482.5869090301,6481.8836714079,31666.2159808985,25589.1701607945,1396.47817736012,4030.64385631273,0,0,32277.9806969323,44897.9140403248,0,0,81097.206246097,84476.2299873919,0,255886.284146941,580474.712893406,"4_79_16",2,FALSE
"1371",2023-01-29,609811,0,-170056.807510789,0,47485.233678882,0,0,0,0,48777.6935960476,27193.4728415353,5471.55758064389,31745.5816881714,22342.5253882701,326.075616189588,3748.21920716787,0,0,33048.4244279537,38161.2082604433,0,0,68925.0056231612,62650.8443685335,0,255886.284146941,475705.318913152,"4_79_16",2,FALSE
"1372",2023-02-05,593941,0,-196909.488664516,0,23742.616839441,0,0,0,0,49583.1049585519,29357.1642985931,3556.92667819192,32696.2377553844,28581.0416567244,1024.73800958927,3486.90112434466,0,0,34529.1171496802,32880.5840854793,0,0,74002.114896178,52884.6295833128,0,255886.284146941,425301.972517896,"4_79_16",2,FALSE
"1373",2023-02-12,561566,0,-193911.194918178,0,2907.25920482951,0,0,0,0,51939.4438035616,27409.5756053831,2464.0140784198,34180.1432846386,27633.0472843123,64.6150280247168,3244.93841657553,0,0,35502.0109921551,27220.9761720577,0,0,92318.8230179878,61097.7825804339,0,255886.284146941,427957.718697143,"4_79_16",2,FALSE
"1374",2023-02-19,619856,0,-174148.195172742,-16195.3235195813,0,0,0,-13187.5824937965,0,55684.9498386711,21776.440009556,2636.65487511687,34991.5573871409,27704.5671066613,112.380930083282,3020.74085567269,0,0,35998.9799348875,25635.9857528569,0,0,72882.4855232647,48178.3006847056,0,255886.284146941,380978.225859438,"4_79_16",2,FALSE
"1375",2023-02-26,510636,0,-142036.798684075,0,0,0,0,0,0,58821.0897903907,18579.5866463952,3445.91788826581,35534.8607316387,26952.0639273303,31.5205494445017,2812.86323695924,0,0,40863.938636127,23906.4741947492,0,0,64815.9787088933,38147.6516496902,0,255886.284146941,427761.43142275,"4_79_16",2,FALSE
"1376",2023-03-05,676609,0,-96201.6444127935,0,26649.8760442705,0,0,0,0,58145.5917195503,22734.7477440559,3585.79981184281,36127.2846448154,19560.7543227905,0.387497846843858,2619.99107159321,0,0,47698.1287983956,15652.5503264167,0,0,69649.857692996,33949.2596173828,0,255886.284146941,496058.869026104,"4_79_16",2,FALSE
"1377",2023-03-12,882591,0,-49462.5334437477,0,78011.4553295919,0,0,0,0,54891.2530871581,27484.2308642959,2989.9973797316,36204.0156288628,35668.1680427899,1.79648758436686e-06,2440.92774975208,0,0,51886.8890296612,17942.9327433483,0,0,134041.320781367,25923.6437709798,0,255886.284146941,673908.585112528,"4_79_16",2,FALSE
"1378",2023-03-19,773232,0,-26033.7603682969,0,54268.8384901509,0,0,-13187.5824937965,40924.0363810117,53276.9857043991,29741.6693698945,2407.68561110767,35680.959219214,49368.7910233716,4.23733925590772e-17,2274.58302626078,0,0,53944.6499356973,24803.78803688,0,0,106874.271680733,14005.1616312615,0,255886.284146941,684236.36139483,"4_79_16",2,FALSE
"1379",2023-03-26,521967,0,-33152.9470030999,0,30526.2216507099,0,0,0,13641.3454603372,45616.8280978147,26749.0497133954,2235.01612120366,34158.7831540172,38944.8036377592,4.8452547917314e-35,2119.96269296101,0,0,54866.1215309793,42351.084995471,0,0,77203.9585793713,13617.8885696177,0,255886.284146941,604764.401347478,"4_79_16",2,FALSE
"1380",2023-04-02,620251,0,-46974.7864399471,0,7268.14801207378,-36886.8890986336,0,0,0,44729.4401014071,25802.4140445031,2716.74584623441,32884.6905114581,38828.2533372012,1.44978866191233e-62,1976.15931451293,0,0,55513.0966657148,52047.8252440419,0,0,74313.2405876487,33219.4895056799,0,255886.284146941,541324.111778836,"4_79_16",2,FALSE
"1381",2023-04-09,712058,0,-37830.2689301608,0,0,-51154.4594103692,0,-13187.5824937965,0,56250.2543347761,25675.5878987003,3480.28692243099,34454.4034512298,33421.5959564866,3.71377599208337e-102,1842.34391612332,0,0,55847.2538243414,79929.7159223592,0,0,60758.7901688792,48625.2575428527,0,255886.284146941,553999.463250794,"4_79_16",2,FALSE
"1382",2023-04-16,764583,0,-6118.44438397505,0,0,-34102.9729402461,0,0,0,60080.3412847321,30289.323456389,4176.14843361253,36348.8823394336,30528.1533352285,1.69112591729921e-156,1717.75852275138,0,0,56000.1894446124,103459.245322543,0,0,89949.242002335,49656.0657707307,0,255886.284146941,677870.216735087,"4_79_16",2,FALSE
"1383",2023-04-23,790696,0,18742.7955817218,0,0,-17051.4864701231,0,0,0,58277.8968601028,37071.2798456735,5722.82657948795,37034.1790450086,27091.6301053691,1.86523861882458e-228,1601.70945957355,0,0,56062.915910392,119430.846847896,0,0,104577.288346718,50935.1858038731,0,255886.284146941,755383.352062634,"4_79_16",2,FALSE
"1384",2023-04-30,885338,0,18583.0215212514,0,0,-2087.93711879058,0,0,0,67490.6808571001,43890.5089863695,7010.51804068195,37119.3556692319,20921.1853590107,0,1493.56133286616,0,0,61343.5544032635,124350.52532763,0,0,96143.5627402477,33489.7502977188,0,255886.284146941,765634.571563522,"4_79_16",2,FALSE
