"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","collab_spend","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","cluster","top_sol"
"37","3_106_12",0,0.295371070281268,0.214939764402013,0.871459249724373,0.0436408333692872,0,0.968855869717006,0.295343370961347,0.694381059121107,0.969286278887612,0.0429913755791565,0,0,0,0.0200783542826094,0,0.717392567354937,0,0,4,FALSE
"38","3_70_9",0,0.0392308371484068,0.420172019300611,0.791071577438883,0.0481627887089658,0,0.726500713553611,0.842183309838957,0.683174324548884,0.299309852346611,1,0,0,0,0,0.265302958129337,0.220980134139753,0,0,3,FALSE
"39","3_72_1",0,0.0388239294058337,0.421477331147768,0.792066245433608,0.0482029746362542,0,0.716447072794633,0.836770275490954,0.681724203068742,0.295793209042101,0.996153781401538,0,0,0,0,0.302192669291576,0.219794930154862,0,0,3,FALSE
"40","3_81_13",0,0.0374533639544623,0.330116384189908,0.874989829579376,0.0554584622125299,0,0.647932718617832,0.768456528250361,0.673189480418455,0.227220026086733,0.767196255639533,0,0,0,0,0.92715091022436,0.24089451809686,0,0,3,FALSE
"41","3_87_13",0,0.0396465057020892,0.329579442694254,0.740579540830592,0.048667770804224,0,0.681397719594012,0.838584961944685,0.779739029903993,0.283972026861917,0.946082449236018,0,0,0,0,0.300887537591476,0,0,0,3,FALSE
"42","3_96_9",0,0.180765900002135,0.218236511752635,0.905531949121966,0.043326791173307,0,0.773884233547943,0.549468694938277,0.686203649669955,0.921915958904875,0.0473696654388118,0,0,0,0.415875084835184,0,0.775468578526194,0,0,4,FALSE
"43","5_100_11",0,0.0676567566720242,0.231132065509395,0.588540633273822,0.0463474630735262,0.380343140899209,0.100252380441035,0.430564415367213,0.36694259073095,0.00771323091993308,0.721266292693797,0,0.346469855766107,0,0.758519073535437,0,0.130459459226968,0,0,1,FALSE
"44","5_101_1",0,0.0376008575805526,0.236251212413276,0.542177193294045,0.0473414132967718,0.282947488811117,0.100632196809311,0.533632856455217,0.414682785290903,0.121425177126981,0.654026362795912,0,0.0741548604966517,0,0.240647737981228,0,0.133852538694295,0,0,6,FALSE
"45","5_101_17",0,0.272666286678293,0.219675845451934,0.64557439689825,0.0442450581031619,1,0.364142469357004,0.0565837379462042,0.209677821851816,0.306275841407075,0.62698002777861,0,1,0.0105943703328415,0.320824297132793,0,0.261918917602619,0,0,1,FALSE
"46","5_101_2",0,0.0401468727286287,0.229615775427864,0.506398494401644,0.0467027237881914,0.32851943555322,0.217804580181352,0.580924078721601,0.122197764474656,0.199638743978197,0.744668135576011,0,0.0163559889941369,0.887036770336801,0,0,0.148758971504203,0,0,7,FALSE
"47","5_101_3",0,0.12176985739302,0.224804222896512,0.617291099842431,0.0448713035604366,0.53860068434888,0.243468500915332,0.382491940858197,0,0.375726972788741,0.493959272605829,0,0.11920878388644,0.141200011080999,0.693920164493007,0,0.112870936720775,0,0,1,FALSE
"48","5_101_9",0,0.0383731844888298,0.283336042863066,0.567933069277644,0.0479230277498983,0.202781954429142,0,0.516701020030291,0.28208940051617,0.0913426910231007,0.665472185453348,0,0,0.0592814839325247,0,0.467217673155078,0.139682867487247,0,0,3,TRUE
"49","5_102_14",0,0.243031497900149,0.218021006288607,0.678634004301818,0.0442349902108281,0.857575709644098,0.284492896974958,0.186514243961048,0,0.422007774482514,0.287268297802079,0,0.529470781920667,0,1,0,0.269849657708456,0,0,1,FALSE
"50","5_102_19",0,0.230529185939589,0.218032174252886,0.672596303937704,0.0440660623357144,0.575602509149837,0.358466948510489,0.128251144811339,0.142938942120158,0.542576602096975,0.549052264125184,0,0.270177602781735,0.674318259932494,0.603627142146552,0,0.0981409035899347,0,0,2,FALSE
"51","5_103_1",0,0.0409140316870958,0.248224229710966,0.575845394944044,0.0475568278085521,0.22717863503905,0.100930953896982,0.504589108743449,0.407710538225119,0.0604258449851124,0.70178228779282,0,0.0424283508088275,0.352701870947786,0.160530417933332,0,0.106020890668046,0,0,6,FALSE
"52","5_103_13",0,0.078887380384627,0.227948048058893,0.480433229784774,0.0462531743871152,0.350802623219028,0.289245750923665,0.506501791125762,0.037577819849969,0.317801124978856,0.592333587530209,0,0,0.95117995850406,0,0,0.191591500028388,0,0,7,FALSE
"53","5_103_9",0,0.039070973739582,0.231995135066861,0.567920986831947,0.0469372723866099,0.32335340735989,0.195042907641567,0.614884430562433,0.3317100867613,0.0588199035208261,0.759549618991503,0,0.100755245569654,0.499303626819654,0.258805090705673,0,0.215859337172346,0,0,5,FALSE
"54","5_104_11",0,0.0674847394401248,0.222555410849784,0.53870552705344,0.0451248276016117,0.392483002646006,0.204645574891188,0.474430979357779,0.0815438120201522,0.267689578090074,0.58606754996864,0,0.125636377176515,0.83660069038526,0.482687404606833,0,0.0483076292169172,0,0,2,TRUE
