"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","facebook_cost","google_ads_cost","tiktok_cost","influencer_cost","other_cost","cluster","top_sol"
"41","1_91_13",0,0.0308996798621246,0.640874189781068,1.03575736634429,0.0546309104804352,0.566981987723843,0.485528224810282,0.172611909987991,0.509498719542179,0,1,FALSE
"42","1_91_15",0,0.0308060848603171,0.641706696990731,1.03208605454319,0.0547569852464975,0.572619082417653,0.475427903868467,0.168690124132785,0.490919021105486,0,1,FALSE
"43","1_92_12",0,0.0323723807246113,0.627505304385396,1.02826416953547,0.0545252735987229,0.60874715097538,0.503514030285789,0.213607235378043,0.553588605498006,0,1,FALSE
"44","1_93_13",0,0.0311574295107148,0.633192822548448,1.02471133105543,0.0545261597607055,0.625241275113969,0.501459451625597,0.184246847195778,0.552117250933963,0,1,FALSE
"45","1_93_3",0,0.0354315015389883,0.626071975155829,1.02864681637474,0.0543797486936981,0.629037927582144,0.504936558252014,0.251091989744609,0.550233089545107,0,1,FALSE
"46","1_93_5",0,0.0316775293293851,0.632008860320277,1.03435868257165,0.0545886153738611,0.593444580029671,0.494552856021075,0.199932504789247,0.535566414226054,0,1,FALSE
"47","1_93_6",0,0.0325101896337579,0.630661659789181,1.02975346744701,0.0544055331165993,0.601976150627793,0.512604160169041,0.21105724690335,0.497749732456333,0,1,FALSE
"48","1_93_7",0,0.031033935120486,0.642614462153437,1.03707277766172,0.0546634358011075,0.589077586691836,0.477579377524535,0.168267948291468,0.547039022256129,0,1,FALSE
"49","1_94_10",0,0.0320308063432196,0.633182744387558,1.03038615507143,0.0543130333936565,0.599720148875235,0.476805867530504,0.194117074618807,0.558506932802908,0,1,FALSE
"50","1_94_14",0,0.0332804924229186,0.626418342153868,1.02599584451585,0.0543721817256426,0.63264403072358,0.507817739349611,0.231061354013206,0.551333107836498,0,1,FALSE
"51","1_94_16",0,0.0307962020702633,0.641367445453859,1.03417528573535,0.05473224769424,0.570762971903117,0.476137330514752,0.170826002076245,0.49061505473403,0,1,FALSE
"52","1_94_18",0,0.0308560653293755,0.643283508352592,1.03690584271229,0.0546810307630143,0.587819457649995,0.478321095202097,0.168860580689866,0.526419694081703,0,1,FALSE
"53","1_96_11",0,0.0328366517385512,0.629873931136549,1.02589089190872,0.0542875134962056,0.629950579604967,0.501051363326768,0.221523444946585,0.538354503047858,0,1,FALSE
"54","1_96_4",0,0.0320620436870885,0.631648703656684,1.02938574937108,0.0543452714951225,0.610022778098945,0.50325676372457,0.21111189744383,0.545833753161759,0,1,FALSE
"55","1_96_9",0,0.0335675756331908,0.627149768378621,1.02714572820179,0.0543850560680964,0.626734282846455,0.518382791273784,0.230166871731995,0.502084209686706,0,1,FALSE
"56","1_97_1",0,0.0308728707162574,0.643742124059904,1.03645809268676,0.0548954112988494,0.583992578742414,0.476771225099278,0.173479690952975,0.52920846320511,0,1,FALSE
"57","1_97_10",0,0.0307988816226818,0.644690052487205,1.03001392764695,0.0549969271103653,0.578953081730551,0.481650435475456,0.171914148410126,0.534112867395753,0,1,FALSE
"58","1_97_12",0,0.0355326287537775,0.627265508674512,1.02950905599476,0.0541532750433041,0.633581466674642,0.477610615908259,0.217840012779285,0.49594563718848,0,1,FALSE
"59","1_97_13",0,0.0331722327651563,0.628523327266481,1.0311015154267,0.0541844069802551,0.643703175905216,0.515322334565322,0.23246515817083,0.549780392365653,0,1,FALSE
"60","1_97_19",0,0.03146783471057,0.632672454623263,1.03167993866639,0.0545192167187093,0.608569738517665,0.513936882509405,0.197132882213664,0.561518986279978,0,1,FALSE
"61","1_97_5",0,0.0306337307343277,0.643890647567152,1.03535082448184,0.0547024332212626,0.563455550948127,0.475641114888294,0.163936928365413,0.506761338482385,0,1,FALSE
"62","1_98_16",0,0.0311240687902588,0.635049340176482,1.02349294232111,0.0548608660233476,0.605359778407036,0.498036081358181,0.169175335871699,0.507183495568846,0,1,FALSE
"63","1_98_19",0,0.0312852155595992,0.642447202383407,1.04084126421648,0.0546277192668405,0.583396689279845,0.490305595262072,0.171534173221277,0.563098130328316,0,1,FALSE
